product_id,product_sku,product_name,current_price,data_id,product_brand,category,product_link,product_image_link,original_price,discount_pct,rating_pct,number_of_reviews,page
56863458,6900956660669,Smart Tivi HD Skyworth 32S3A 32 inch - Hàng Chính Hãng,2690000,16138789,Skyworth,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-hd-skyworth-32s3a-32-inch-hang-chinh-hang-p16138789.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/84/ab/df/c691173e4cd74358085cd061d386e141.PNG,3390000,21.0,20.0,1,5
25140384,1579602021076,Smart Tivi QLED Samsung 55 inch 4K UHD QA55Q75RAKXXV - Hàng chính hãng ,19130000,11616115,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi QLED,https://tiki.vn//smart-tivi-qled-samsung-55-inch-4k-uhd-qa55q75rakxxv-hang-chinh-hang-p11616115.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/32/b8/78/3757d4d17ddf2b245fcb3ec86f9dca12.jpg,51900000,63.0,80.0,5,5
42707424,3445545337179,Android tivi Panasonic 4K 55 inch TH-55GX750V - Hàng chính hãng,11690000,42272191,Panasonic,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-panasonic-4k-55-inch-th-55gx750v-hang-chinh-hang-p42272191.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/16/db/24/6ca49f1b7c021beb38bb12b9f6355f51.jpg,20000000,42.0,100.0,1,5
50421560,1089943343237,Smart Tivi Samsung 4K 50 inch UA50TU7000,9500000,50421559,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-samsung-4k-50-inch-ua50tu7000-p50421559.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/59/92/7e/18cdadb608d5627313db3b0946109067.jpg,13400000,29.0,0.0,0,5
17589388,3873452128755,Tivi LED Darling HD 32 inch 32HD962S2,2690000,14510413,DARLING,Điện Tử - Điện Lạnh/Tivi/Tivi thường (LED),https://tiki.vn//tivi-led-darling-hd-32-inch-32hd962s2-p14510413.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/13/eb/67/b0194f7a2be17e853fc2ce6502887bc1.jpg,3590000,25.0,82.0,12,5
36580427,1497099752986,Smart Tivi LG Full HD 43 inch 43LV640S,5990000,2172081,LG,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-lg-full-hd-43-inch-43lv640s-p2172081.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f2/cf/4e/bd456fb6c40f64eb33c8dede88391a6b.jpg,13990000,57.0,76.0,14,5
50421564,9673692332950,Smart Tivi Samsung 4K 50 inch UA50TU8100,11300000,50421562,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-samsung-4k-50-inch-ua50tu8100-p50421562.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a3/1d/90/7409c5fdb95d091f7e374d32d81ea921.jpg,15400000,27.0,0.0,0,5
12326989,9091248314623,Smart Tivi Samsung 4K 50 inch UA50NU7090,8999000,3665219,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-samsung-4k-50-inch-ua50nu7090-p3665219.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a5/bd/5c/627db88223ff4fc04b10b1aeceac11e7.jpg,17990000,50.0,88.0,58,5
49248434,3048317896425,Smart Tivi Asanzo 32 inch 32SL500 - Android 8.0 - Model 2020 - Hàng chính hãng,3199000,49248433,Asanzo,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-asanzo-32-inch-32sl500-giong-noi-android-8-0-model-2020-hang-chinh-hang-p49248433.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/07/ad/7d/ec8209a3c2bd6b56c6e565e62e546f8a.png,4500000,29.0,80.0,1,5
16964231,6157594945362,Smart Tivi QLED Samsung 4K 49 inch QA49Q6FNA,12990000,3250345,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-qled-samsung-4k-49-inch-qa49q6fna-p3250345.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b1/8c/10/72a1092206eb1c1de11333ecc658e9b4.jpg,29890000,57.0,100.0,1,5
50425708,1263183612326,Smart Tivi Samsung 4K 65 inch UA65TU7000,16290000,50425707,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-samsung-4k-65-inch-ua65tu7000-p50425707.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e0/a5/0a/a780d136edbc1b0503bf18761c82f3ad.jpg,24900000,35.0,0.0,0,5
43346234,5532401038276,Android Tivi Sharp 4K 70 inch 4T-C70AL1X,18549000,39324177,Sharp,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-sharp-4k-70-inch-4t-c70al1x-p39324177.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/fc/ed/ef/88e589d71712e4d8f8e6df632d46038d.jpg,35000000,47.0,0.0,0,5
17733451,1445813159498,Smart Tivi OLED Asanzo Full HD 32 inch 32EK3,3290000,17733450,Asanzo,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-oled-asanzo-full-hd-32-inch-32ek3-p17733450.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/47/98/6f/47b0d2b6a59fa7950555ef3242acc1ca.jpg,4900000,33.0,60.0,2,5
21123420,2455991417685,Smart Tivi TCL 4K 50 inch 50P8S,10990000,21022025,TCL,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-tcl-4k-50-inch-50p8s-p21022025.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e6/5e/77/4d174ad2f974da58db23f51c2e4687db.jpg,12390000,11.0,0.0,0,5
59481230,5927177306511,Smart Tivi Samsung 4K 65 inch UA65NU8000,20464500,2082769,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-samsung-4k-65-inch-ua65nu8000-p2082769.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/09/ec/45/71429261ae34760b06489ffdafe8dbbe.jpg,62900000,67.0,0.0,0,5
10674713,6574422868134,Android Tivi Sony 43 inch 4K KD-43X8500F - Hàng Chính Hãng ,10990000,1952321,Sony,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-sony-43-inch-4k-kd-43x8500f-hang-chinh-hang-p1952321.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/44/a6/05/561b9ddf80b95e228c9873bbc87b6314.jpg,17490000,37.0,82.0,29,5
11413131,4339414015833,Tivi Arirang LED 40 inch  Full HD AR-4088EF - Hàng Chính Hãng,3759000,11413130,Arirang,Điện Tử - Điện Lạnh/Tivi/Tivi thường (LED),https://tiki.vn//tivi-arirang-led-40-inch-ar-4088ef-hang-chinh-hang-p11413130.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/7f/cf/4d/08b848aab47eb1f7a4ac707cc330539f.jpg,5797000,35.0,80.0,21,5
50692298,3386903843621,Smart Tivi Samsung 4K 43 inch UA43TU8000,9789000,50692297,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-samsung-4k-43-inch-ua43tu8000-p50692297.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/8f/ef/85/b8abde1a94e043afa91b44bf04a4fabf.jpg,11900000,18.0,0.0,0,5
2237463,9130321753376,Smart Tivi OLED LG 4K 55 inch 55C8PTA,26989000,2172091,LG,Điện Tử - Điện Lạnh/Tivi/Tivi OLED,https://tiki.vn//smart-tivi-oled-lg-4k-55-inch-55c8pta-p2172091.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/15/c8/17/8acb8f7d2a941f78d412d98a56fa796b.jpg,51990000,48.0,84.0,11,5
25447741,7018835809210,Android Tivi OLED Sony 4K 65 inch KD-65A8F,50090000,4446253,Sony,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-oled-sony-4k-65-inch-kd-65a8f-p4446253.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/18/d3/ab/1208b2abac30eebf6ace9be6531ba200.jpg,89900000,44.0,70.0,2,5
17465710,3174710073610,Smart Tivi LG 4K 43 inch 43UM7600PTA,8690000,17465709,LG,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-lg-4k-43-inch-43um7600pta-p17465709.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/22/5d/12/bb72cffe0b67d5a118aaf85f14ce41f1.jpg,14400000,40.0,80.0,1,5
51464764,7590471231476,Smart Tivi 43 inch Chính Hãng ,4880000,51464763,JingZhan,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-43-inch-chinh-hang-p51464763.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0a/1c/c8/36d0e72fbf127bd373109591b686f40d.png,5710000,15.0,0.0,0,5
26619791,3903788099723, Smart Tivi LG 55 inch 4K UHD 55UM7600PTA - Hàng Chính Hãng + Tặng kèm Ấm siêu tốc Lock&Lock EJK418SLV,13090000,26619779,LG,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-lg-55-inch-4k-uhd-55um7600pta-hang-chinh-hang-tang-kem-am-sieu-toc-lock-lock-ejk418slv-p26619779.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/74/6e/67/c94cb27f2358aca44428af6b8581710a.jpg,23900000,45.0,0.0,0,5
58078255,6767385122690,Android Tivi Sony 4K 55 inch KD-55X9500H,27390000,57422387,Sony,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-sony-4k-55-inch-kd-55x9500h-moi-2020-hang-chinh-hang-p57422387.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9d/cc/ce/2cb0928c5423374d5303ddc6b4c13832.jpg,31900000,14.0,0.0,0,5
59433226,8599405409782,Smart Tivi 4K Panasonic 55 Inch TH-55GX750V- HÀNG CHÍNH HÃNG,11798000,43869090,Panasonic,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-4k-panasonic-55-inch-th-55gx750v-hang-chinh-hang-p43869090.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/80/f2/29/c6b68d9fb908c74ef0786349cff225fd.png,19000000,38.0,100.0,1,5
24838301,8906523621642,Tivi LED Toshiba Full HD 43 inch 43L3750,5390000,785225,Toshiba,Điện Tử - Điện Lạnh/Tivi/Tivi thường (LED),https://tiki.vn//tivi-led-toshiba-full-hd-43-inch-43l3750-p785225.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/92/b1/ca/63a0aec54178907f4b6099c53d42d6f4.jpg,8100000,33.0,92.0,13,5
8005873,1066832127857,Android Tivi TCL 40 inch Full HD 40S6500 - Hàng Chính Hãng,4990000,6307481,TCL,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-tcl-40-inch-full-hd-40s6500-hang-chinh-hang-p6307481.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0b/bd/2e/137a710902caf401cd37f6746d3cb7b5.jpg,7990000,38.0,0.0,0,5
24988648,4095764407406,Android Tivi Sony 4K 43 inch KD-43X8500G/S,11990000,14998294,Sony,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-sony-4k-43-inch-kd-43x8500g-s-p14998294.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/83/ca/f9/85d5f2303234ed8d805299d8331ca52b.jpg,19700000,39.0,94.0,3,5
17487135,8860600925828,Smart Tivi OLED LG 4K 65 inch 65C9PTA,41990000,17487134,LG,Điện Tử - Điện Lạnh/Tivi/Tivi OLED,https://tiki.vn//smart-tivi-oled-lg-4k-65-inch-65c9pta-p17487134.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/c7/5a/19/3449b28b2930ce7147765a3835672fbe.jpg,82900000,49.0,90.0,2,5
63161126,7290731728554,Smart Tivi Asanzo 4K 50 inch 50SL700,6990000,57356296,Asanzo,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-asanzo-4k-50-inch-50sl700-p57356296.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/af/5b/03/d2163d2bf6e2cde43d52fd66772d42cc.jpg,8590000,19.0,0.0,0,5
66622480,1293649972329,Smart Tivi Samsung 55 inch 4K UHD UA55NU7090KXXV - Hàng Chính Hãng,10489500,36751328,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-samsung-55-inch-4k-uhd-ua55nu7090kxxv-hang-chinh-hang-p36751328.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f3/cc/41/830cce4a160fbff13a898e30c58c4ad9.jpg,20990000,50.0,0.0,0,5
49696535,6831782681675,Smart Tivi TCL Full HD 40 inch L40S6800,5290000,24787181,TCL,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-tcl-full-hd-40-inch-l40s6800-p24787181.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/37/a4/00/b22aad04efea33f4a59d733eb111af2a.jpg,6890000,23.0,20.0,1,5
50592902,3715151836633,Smart Tivi QLED Samsung 4K 65 inch QA65Q65TA,24590000,50592901,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-qled-samsung-4k-65-inch-qa65q65ta-p50592901.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/17/4d/82/69dea6d9f0cfcf2aacc0087a75f1e4e1.jpg,33900000,27.0,0.0,0,5
19447275,6624893981730,Android Tivi Sony Full HD 49 inch KDL-49W800G,10040000,19353370,Sony,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-sony-full-hd-49-inch-kdl-49w800g-p19353370.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/64/7a/f0/838165981d252b51025366b0bb3e9366.jpg,18300000,45.0,100.0,1,5
55596985,2992964866281,Smart Tivi The Frame Samsung 4K 55 inch QA55LS03TA,23190000,53757396,Samsung,Điện Tử - Điện Lạnh/Tivi/Tivi 4K,https://tiki.vn//smart-tivi-the-frame-samsung-4k-55-inch-qa55ls03ta-p53757396.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/03/a2/10/7b759947295edf5f9dd0dabca168b353.jpg,65900000,65.0,0.0,0,5
46676567,2070211745524,Smart Tivi Samsung Full HD 49 inch UA49J5250A,8960000,2245763,Samsung,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-samsung-full-hd-49-inch-ua49j5250a-p2245763.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/12/f5/78/46a8b48d077f567bcb283b87874b6729.jpg,15400000,42.0,80.0,16,5
38154512,8265037287851,Tivi LED Sharp 4K 60 inch 4T-C60AL1X,12550000,34961017,Sharp,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//tivi-led-sharp-4k-60-inch-4t-c60al1x-p34961017.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b7/cc/5b/a41230c2b5c8edfad072ee4f28f0d2fa.jpg,18000000,30.0,100.0,1,5
68167343,6004769335339,Smart Tivi Samsung 4K 55 inch 55TU6900 UHD- Hàng Chính Hãng,12000000,59169134,Samsung,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-samsung-4k-55-inch-55tu6900-uhd-hang-chinh-hang-p59169134.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/2b/61/b1/ebe50843d745770fcd5eeb41f3c5aee3.png,15000000,20.0,100.0,1,5
59433463,2525399375006,Smart Tivi Panasonic TH-65GX650V - Android 9.0 - LED 4K - 65 Inch - Hành Chính Hãng ,15390000,53469750,Panasonic,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-panasonic-th-65gx650v-android-9-0-led-4k-65-inch-hanh-chinh-hang-p53469750.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/6b/9b/6d/1cc44ea7e45a3b68a5f80f75565bc2bc.jpg,19700000,22.0,0.0,0,5
1963583,1977626796244,Android Tivi Sony 4K 55 inch KD-55X9000F,23990000,1963581,Sony,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//android-tivi-sony-4k-55-inch-kd-55x9000f-p1963581.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f9/78/8e/e0916f5fdad5a48e04cc75c8a589ca6b.jpg,39900000,40.0,100.0,1,5
1946375,5742552992833,Tivi LED Asanzo HD 32 inch 32AT120,2990000,1946373,Asanzo,Điện Tử - Điện Lạnh/Tivi/Tivi thường (LED),https://tiki.vn//tivi-led-asanzo-hd-32-inch-32at120-p1946373.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/67/87/fb/d18ec30d0ccaf5f5c369c826c4941be9.jpg,3790000,21.0,90.0,11,5
2237469,8385113698217,Smart Tivi OLED LG 4K 77 inch 77W8T,559000000,2172085,LG,Điện Tử - Điện Lạnh/Tivi/Tivi OLED,https://tiki.vn//smart-tivi-oled-lg-4k-77-inch-77w8t-p2172085.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/dd/b3/a3/8c0a67df0212a1b854e3f41ba81416b4.jpg,690000000,19.0,0.0,0,5
41618631,4973566607807,Tivi LED Darling Full HD 40 inch 40HD957T2,3790000,25591030,DARLING,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//tivi-led-darling-full-hd-40-inch-40hd957t2-p25591030.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/1e/76/c6/7dbb75676840c95ca335e5992ce4b8f4.png,5969000,37.0,0.0,0,5
43872709,3807762522897,Smart Tivi Skyworth 32 inch 32TB5000 - HÀNG CHÍNH HÃNG,3590000,43872703, SKYWORTH,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-skyworth-32-inch-32tb5000-hang-chinh-hang-p43872703.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/bb/45/99/cdb5e4fe115cb34b816417030923bd7f.png,7000000,49.0,100.0,1,5
50751186,9183837819395,Smart Voice tivi UBC HD 32 inch 32P300S Điều khiển bằng giọng nói -Phần mềm Vn-Karaoke omline miễn phí. Tính năng bảo vệ trẻ em – Hàng Chính Hãng,3590000,50751185,UBC TV,Điện Tử - Điện Lạnh/Tivi/Smart Tivi - Android Tivi,https://tiki.vn//smart-tivi-ubc-hd-32-inch-32p300s-hang-chinh-hang-p50751185.html?src=category-page-4221.5015&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5d/e1/8e/c8342dc2209ce27257fb6f93eebb6b23.jpg,4500000,20.0,100.0,1,5
